FAM160A1	233051
ZBTB21	213788
PLK3	201852
TSC22D2	167986
CSRNP1	150190
HOOK1	148080
SLC25A25	141678
ACVR2B	134112
MIDN	132120
SPATA2L	130268
HSDL2	129096
SERTAD1	125808
NEDD9	122811
TIPARP	122430
TSPAN3	114432
BTBD6	113693
UGP2	111345
ITPKC	109326
ATPAF1	108396
PPP1R15B	108069
CCNL1	106236
FOSL1	102469
FOSL2	101116
CDC42BPG	99648
FAM217B	94878
GRHL2	93688
ADCK3	93258
AP1M2	92178
MAPK1IP1L	91008
FAM53C	89068
BARX2	86564
PER2	84249
CGN	80736
SPINT1	80549
EGR3	78862
PARS2	78570
PPRC1	76320
SERTAD3	73944
ZNF566	73687
ESRP1	72630
ZKSCAN4	72478
RNF122	71334
RAB25	71250
MCL1	70840
SLC2A3	70290
DYRK3	69825
GATB	69253
ZNF106	69192
ADAMTS4	68672
LAMA4	68172
FRAT2	67228
WEE1	66723
LDLR	66681
ZBTB34	65910
LAD1	65835
ZNF2	65275
CDKN1A	65208
CS	64332
FAM178A	64064
CAMSAP3	63140
ZFP30	62829
ETFDH	62454
ZBTB6	62064
CHD1	61452
PPP2CA	61348
CDC37	61230
DUSP14	60669
CXADR	60561
RIPK4	60450
KDF1	60240
VTI1B	59934
PKDCC	59818
PDE3B	59040
S100A16	58864
DLC1	58776
STRADB	58485
MAP7	57960
PVRL4	57591
CDH1	57570
SOX18	57176
FKBP2	56763
SART1	56682
MDH1	55080
MARCH2	54802
TYRO3	53969
MTHFD1	53172
PLXNA4	53072
GCOM1	52780
PDHA1	52332
TRA2B	51444
TJP3	51250
JUND	51174
AGPAT2	50853
SYNPO	50652
VPS37B	49464
DDIT4	49059
TNFRSF12A	49036
SOCS3	49020
SH3BP4	48868
TFAP2A	48692
SLA	48516
TSC22D3	47652
PIM1	47106
SLC2A4	46620
ERRFI1	46515
SRSF7	46303
RND1	45675
NR4A1	45376
ZEB1	45296
PDAP1	45162
GADD45GIP1	44758
KLF10	44200
IFFO2	43740
ZNF621	43130
LMNA	42980
C17orf59	42092
GYLTL1B	41808
ATF3	41731
NFKBIA	41725
GYS1	41661
GPI	41514
AKIRIN1	41446
KLF6	41325
LDHD	41024
EGR2	40352
TMPRSS2	40200
TBCC	40026
ARL6IP4	40014
RDH5	39975
RHOU	39725
ITPRIP	39611
OVOL2	39144
B4GALT1	39066
RGS16	39050
ECHS1	38900
EMP1	38878
SLC25A32	38000
ANKRD40	37925
CNKSR1	37859
CDK11B	37715
SGK1	37628
PFDN6	37510
ZBTB39	37278
ABHD15	37092
LRRC8E	37077
FADS3	37048
TNIP1	36938
RLIM	36336
FAM127A	36096
YWHAG	36080
SNAI2	36062
CCL2	36024
CD164L2	36018
PER1	35992
PDK2	35904
KLF9	35815
ZNF607	35606
NTF4	35520
NR4A2	35400
PDE4DIP	35344
NRARP	35328
CCDC9	34813
DLK2	34812
TSR2	34800
ABHD13	34720
WBSCR22	34325
ITGB6	34110
PRDM1	33924
UQCRC2	33924
MYADM	33878
DGAT1	33779
GADD45A	33497
ZNF33A	33420
TIMM44	33396
FAM50A	33360
ATG101	33165
HOMER2	33000
ZFP36	32907
NATD1	32700
KLF16	32606
MAFF	32538
SURF2	32536
MARC1	31856
ACO2	31768
TOE1	31512
EPHA1	31360
GTF2B	31291
PPP1R15A	31020
SDE2	30855
WNK2	30855
KLHL15	30768
PMVK	30200
HIRIP3	30015
CDC42EP2	29988
LHFPL2	29616
RHOQ	29610
GRPEL2	29436
RHOV	29431
SAFB2	29326
TAF15	29232
NUDC	29172
RAC3	29026
PDE12	29010
ARAF	28848
DUSP8	28821
PXDC1	28320
IK	28292
KRTCAP3	27915
LRRC48	27742
ZFAND5	27636
ACO1	27594
C14orf28	27336
ITGB1BP1	27300
SRF	27300
KIAA1683	27159
RBAK	27096
C2orf40	27000
NDUFB5	26964
GPR3	26960
EHF	26838
OSR1	26780
ELMOD3	26752
UBXN1	26736
GADD45G	26725
STX10	26400
MLXIPL	26397
DDR2	26087
XKR8	25802
GRB7	25606
SAFB	25584
RAB32	25542
HYPK	25431
CCDC173	25272
WASF2	25216
KIF13B	25135
ZNF225	25128
FEZ2	25072
VKORC1L1	25060
CLDN8	25002
TIMMDC1	24996
COQ10B	24992
ETFB	24984
FOXA1	24960
CEP250	24909
PCF11	24840
CD2AP	24514
DSP	24402
EDN3	24349
TNRC6A	24219
SH3GLB1	24057
GID4	24052
SORBS1	24038
ODF3L1	24002
SRSF3	23958
HAUS3	23914
UQCRC1	23826
SDPR	23655
